base_seg_id	corpus	lpair	prob_target	mean_diff	corr_weighted_diff	pca_diff
_DE_EN_005721-01	uds2	deen	0.6227966484806132	0.7639500617386402	0.7803181621329531	1.5441600533792124
_DE_EN_005721-02	uds2	deen	0.5558700625982936	0.3395508608574052	0.22379587839515624	-0.1772950671339273
_DE_EN_005721-03	uds2	deen	0.520442996181164	0.06225737661282497	0.05459546777573308	-2.0993234028312564
_DE_EN_005721-04	uds2	deen	0.5536025167982552	0.649033634815274	0.5816294441820588	2.108817646414498
_DE_EN_005721-05	uds2	deen	0.6434498961762399	0.4262336088119695	0.5092965266352152	1.1399755483901153
_DE_EN_005721-06	uds2	deen	0.6976432692728527	0.771923222834375	0.7618657030139989	1.3673712014435946
_DE_EN_005721-07	uds2	deen	0.4364245148261995	0.6045742646543856	0.5407643683209502	1.7263570080005421
_DE_EN_005721-08	uds2	deen	0.4423931643748937	0.6272988451831384	0.5768178166754712	1.5079188970144655
_DE_EN_005721-09	uds2	deen	0.615504848938912	0.6848561423237272	0.6454803940311628	1.1238732767840602
_DE_EN_005721-10	uds2	deen	0.5671767182111871	0.5077738053890618	0.49351546144767633	0.7695462731229604
_DE_EN_005721-11	uds2	deen	0.3180389898977787	0.5487806033253486	0.5598777568124326	0.7267636042451994
_DE_EN_005721-12	uds2	deen	0.3877847381024176	0.3012672753603179	0.46654755731893355	1.13048883050531
_DE_EN_005721-13	uds2	deen	0.576740812647211	0.4367757467493238	0.2314853932333526	1.3216954542218233
_DE_EN_005721-14	uds2	deen	0.6490011207730396	0.9731996713992798	0.962852736164047	1.8797616708278082
_DE_EN_005721-15	uds2	deen	0.5646589476158878	0.461660810792813	0.41769129518389947	0.8456177701436113
_DE_EN_005721-16	uds2	deen	0.598141340566254	0.780853349764256	1.0467770755175714	3.5395085071388928
_DE_EN_005721-17	uds2	deen	0.582251237640312	0.4977099162053288	0.45994221924399076	2.3062141733335184
_DE_EN_005721-18	uds2	deen	0.5142718840228796	0.44810141079884713	0.2218109437220563	-1.9793720476120797
_DE_EN_005721-19	uds2	deen	0.3886911049543641	0.5020111489184267	0.49318923277952953	1.291762383251998
_DE_EN_005721-20	uds2	deen	0.4872764256214202	0.17373336743296436	-0.015849289962299562	-0.005986660229596263
_DE_EN_005721-21	uds2	deen	0.8073438224404811	0.5064605477077926	0.7621311898675426	0.9631081732104364
_DE_EN_005721-22	uds2	deen	0.4800781216058437	0.5575902517278618	0.6622933895253157	2.2144730495399747
_DE_EN_005721-23	uds2	deen	0.5924321538248394	0.26474051301296925	0.16249245970709442	0.11224751315487791
_DE_EN_005721-24	uds2	deen	0.5101671425650088	0.10358012888571064	0.11460683240683407	0.8306267097393795
_DE_EN_005721-25	uds2	deen	0.596985681363128	0.05184498967944836	-0.10406742351944305	-1.9013955491732042
_DE_EN_005721-26	uds2	deen	0.4413718693615497	-0.29111994861243556	-0.2455880648934001	-2.402501255879903
_DE_EN_005721-27	uds2	deen	0.4440911215444469	0.12435509877067023	0.2707376923497588	-0.6475999955879972
_DE_EN_005721-28	uds2	deen	0.4401084621147578	0.6869457725702007	0.8456887774770073	2.696674013475568
_DE_EN_005721-29	uds2	deen	0.5090098817140244	-0.25417890593738474	-0.0696044831077352	-2.5337751703686178
_DE_EN_005721-30	uds2	deen	0.4365379435345865	0.5243361042578568	0.49417158533773853	1.9199445626691434
_DE_EN_005721-31	uds2	deen	0.5089475275378366	0.9201854963349013	1.026879069010335	2.1447527640348945
_DE_EN_005721-32	uds2	deen	0.5118416057210111	0.7232687808062568	0.7114066890237761	0.20171215830642153
_DE_EN_005721-33	uds2	deen	0.4206809351305091	0.23473486255334958	0.3572874124173041	0.13517303397967118
_DE_EN_005721-34	uds2	deen	0.3913968273547895	-0.27039959317256723	-0.17839162211362608	-2.474114253170251
_DE_EN_005475-01	uds2	deen	0.7418765974076795	0.05001424447499036	0.17955605098359384	0.5736370770846545
_DE_EN_005475-02	uds2	deen	0.6477055955762049	0.22369808738604063	0.3207132363938528	1.0763863481263383
_DE_EN_005475-03	uds2	deen	0.3807583457392303	-0.09340649533415922	-0.2510745617156246	0.08977044591055128
_DE_EN_005475-04	uds2	deen	0.6345966143098872	0.2929804916800217	0.29417401644299507	0.46621132844121826
_DE_EN_005475-05	uds2	deen	0.5822930234371222	0.36598401784835277	0.37499326926559323	1.3556116585528777
_DE_EN_005475-06	uds2	deen	0.7619782632148887	0.08660396127980106	-0.02605802940987542	-0.7210007534751863
_DE_EN_005475-07	uds2	deen	0.6029886726750336	0.06319430194959688	0.09927791913138756	0.4327247438207672
_DE_EN_005475-08	uds2	deen	0.4559061032454044	0.4199494942499138	0.40923678817351	0.5577604484556083
_DE_EN_005475-09	uds2	deen	0.6039554730639489	0.27104791606740786	0.3272388690305976	-0.42519730279317985
_DE_EN_005475-10	uds2	deen	0.4612884417204062	-0.07309041558880668	-0.09210055606206098	-0.8587164661429861
_DE_EN_005475-11	uds2	deen	0.5	0.5302019598306955	0.8131567537161186	1.8483927694166393
_DE_EN_005475-12	uds2	deen	0.4435089240576301	0.04436024757741018	-0.09578278394437428	-1.7287030815527573
_DE_EN_005475-13	uds2	deen	0.5172770533701763	0.3779427301573479	0.5414568078893129	0.8966981657200973
_DE_EN_005475-14	uds2	deen	0.5491176538241448	0.13058793611778016	0.13494295902263778	0.49367847226320116
_DE_EN_005475-15	uds2	deen	0.5213197184317042	0.5984283771577369	0.677630416613699	1.9010083183952213
_DE_EN_005475-16	uds2	deen	0.4511780806079394	0.3859089966362165	0.40464480975982686	-0.8108592509008063
_DE_EN_005475-17	uds2	deen	0.5903283665502738	0.6233142093655781	0.7839169702579054	1.5006238457912349
_DE_EN_005475-18	uds2	deen	0.4225805235503039	0.4551612874512168	0.19502498129931015	0.25179066917747905
_DE_EN_005475-19	uds2	deen	0.5529468487520579	0.42866767437581366	0.40269285327315285	0.22909818098335866
_DE_EN_000920-01	uds2	deen	0.4677938400549998	0.8266353921680893	0.888535468786996	1.905670226195574
_DE_EN_000920-02	uds2	deen	0.5969863784958208	0.07491599538174802	0.20268460500184426	-0.015269911039465622
_DE_EN_000920-03	uds2	deen	0.3784045423392517	0.2999526825523949	0.12753880214549723	-0.13139141940537247
_DE_EN_000920-04	uds2	deen	0.4841891758252933	0.35323866204173615	0.3868779924468682	0.7546677443719031
_DE_EN_000920-05	uds2	deen	0.5541283600926034	-0.0903510735864701	0.08492516603837288	-0.40702620346246027
_DE_EN_000920-06	uds2	deen	0.5795768137797467	0.8243300380118079	0.789943236271165	2.5976663449328377
_DE_EN_000920-07	uds2	deen	0.6455130171662011	0.695261217830434	0.7545679043553872	2.1850360632618795
_DE_EN_000920-08	uds2	deen	0.5	-0.0608282752630365	-0.4801283166435091	-4.005608403508023
_DE_EN_000920-09	uds2	deen	0.5962770643293802	1.0648437733993568	1.3083142627316668	3.1940956188027334
_DE_EN_000920-10	uds2	deen	0.4355790595783643	0.4991772779686526	0.6190586303747317	1.6926212493301125
_DE_EN_000920-11	uds2	deen	0.5	0.5087950335051338	0.44304036687244663	1.0941800472073058
_DE_EN_000920-12	uds2	deen	0.5626416203635919	0.5640452705245615	0.6365792253051971	1.1450470731284987
_DE_EN_000920-13	uds2	deen	0.4791713758601172	0.4620278187057255	0.9086573247204407	0.9584868178925626
_DE_EN_000920-14	uds2	deen	0.5947298561602444	0.2631174470273889	-0.08378858879601088	-2.3362234191712146
_DE_EN_000920-15	uds2	deen	0.4241273356288331	0.7900894969169042	0.6721747854785435	0.5578265876995924
_DE_EN_000920-16	uds2	deen	0.5440052158511515	0.615754126264606	0.26354942616151195	0.847925379786392
_DE_EN_000920-17	uds2	deen	0.4730344586266489	0.4212752994748922	0.5256357950089998	-1.3188257694090533
_DE_EN_000920-18	uds2	deen	0.5598881534380569	0.29577804437083716	-0.11977515340853201	-1.6347241234863952
_DE_EN_006683-01	uds2	deen	0.6859106377898614	-0.18775048608210637	-0.2480606270104998	-3.3162218145824682
_DE_EN_006683-02	uds2	deen	0.3902084849599654	0.6920810163391017	0.2351286679885955	0.9249012837076126
_DE_EN_006683-03	uds2	deen	0.4621726882993571	0.3607579085771784	0.3908335340464494	0.8563874769839722
_DE_EN_006683-04	uds2	deen	0.5649012095686098	0.5941569147176671	0.58269554127007	2.809957631245669
_DE_EN_006683-05	uds2	deen	0.6813058002413226	0.8001384002903477	0.7485261646994419	2.6012649739869667
_DE_EN_006683-06	uds2	deen	0.5178897840254826	0.5034229210899778	0.4731175018172367	1.7399863819187762
_DE_EN_006683-08	uds2	deen	0.5189805733483958	0.20909829314067338	0.5066199273331373	0.19895233659190237
_DE_EN_006683-09	uds2	deen	0.5	0.9111521431834044	1.0522099223474075	3.500373258266109
_DE_EN_006683-10	uds2	deen	0.5	0.5106042434225078	0.6790751370921924	1.630456512359233
_DE_EN_006683-11	uds2	deen	0.5607362516569524	0.2973736567171517	0.14282397148400694	0.36015196032581265
_DE_EN_006683-12	uds2	deen	0.3975943420363131	0.03927884695106124	0.08283722526644963	-0.04818243079983581
_DE_EN_006683-13	uds2	deen	0.3845461396201798	-0.04174433414005596	-0.10622843914011437	-0.2839072672812165
_DE_EN_006683-14	uds2	deen	0.4670477346247361	0.3675625713851061	0.2898175672890244	0.5772832748254794
_DE_EN_006683-15	uds2	deen	0.5297426078593338	-0.034165760125410206	0.00027552713185892197	-0.9316330877759765
